form,deprel,deps,misc,grafo,text,word_join,word_join_start,word_join_end,index_e,sentence,#sentence_original
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '231873', 'grafo': '#unconsolidated_earth_material', 'start_char': '231863'}",#unconsolidated_earth_material,que os extratos orgânicos     sedimentos geradores de idade neocomiana e os óleos de origem continental são geoquimicamente correlacionaveis entre si.., sedimentos,30,40,4.0,679,3140
geradores,amod,B=ELEMENTO_PETRO,"{'end_char': '231883', 'grafo': '#source_rock', 'start_char': '231874'}",#source_rock,que os extratos orgânicos     sedimentos geradores de idade neocomiana e os óleos de origem continental são geoquimicamente correlacionaveis entre si.., geradores,41,50,5.0,679,3140
idade,nmod,B=UNIDADE_CRONO,"{'end_char': '231892', 'grafo': '#Valanginian', 'start_char': '231887'}",#Valanginian,que os extratos orgânicos     sedimentos geradores de idade neocomiana e os óleos de origem continental são geoquimicamente correlacionaveis entre si.., idade neocomiana,54,70,7.0,679,3140
óleos,conj,B=FLUIDODATERRA_i,"{'end_char': '231914', 'grafo': '#oil', 'start_char': '231909'}",#oil,que os extratos orgânicos     sedimentos geradores de idade neocomiana e os óleos de origem continental são geoquimicamente correlacionaveis entre si.., óleos,76,81,11.0,679,3140
óleos,conj,B=FLUIDODATERRA_i,"{'end_char': '232873', 'grafo': '#oil', 'start_char': '232868'}",#oil,A distribuição triangular     componentes determinados      cromatografia líquida demonstra boa correlação entre estes e os óleos autóctones     sedimentos de idade neocomiana.., óleos,124,129,14.0,680,3146
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '232899', 'grafo': '#unconsolidated_earth_material', 'start_char': '232889'}",#unconsolidated_earth_material,A distribuição triangular     componentes determinados      cromatografia líquida demonstra boa correlação entre estes e os óleos autóctones     sedimentos de idade neocomiana.., sedimentos,145,155,16.0,680,3146
idade,nmod,B=UNIDADE_CRONO,"{'end_char': '232908', 'grafo': '#Valanginian', 'start_char': '232903'}",#Valanginian,A distribuição triangular     componentes determinados      cromatografia líquida demonstra boa correlação entre estes e os óleos autóctones     sedimentos de idade neocomiana.., idade neocomiana,159,175,18.0,680,3146
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '233255', 'grafo': '#oil', 'start_char': '233250'}",#oil,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", óleos,47,52,7.0,681,3149
rochas,nsubj,B=ELEMENTO_PETRO,"{'end_char': '233297', 'grafo': '#source_rock', 'start_char': '233291'}",#source_rock,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", rochas geradoras,88,104,14.0,681,3149
sedimentos,obl,B=NÃOCONSOLID,"{'end_char': '233336', 'grafo': '#unconsolidated_earth_material', 'start_char': '233326'}",#unconsolidated_earth_material,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", sedimentos,123,133,17.0,681,3149
idade,nmod,B=UNIDADE_CRONO,"{'end_char': '233345', 'grafo': '#Valanginian', 'start_char': '233340'}",#Valanginian,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", idade neocomiana,137,153,19.0,681,3149
formações,appos,B=UNIDADE_LITO,"{'end_char': '233367', 'grafo': '#formacao_153', 'start_char': '233358'}",#formacao_153,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", formações Barra de Itiúba,155,180,22.0,681,3149
Coqueiro,conj,B=UNIDADE_LITO,"{'end_char': '233393', 'grafo': '#formacao_009', 'start_char': '233385'}",#formacao_009,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", Coqueiro Seco,182,195,27.0,681,3149
Morro,conj,B=UNIDADE_LITO,"{'end_char': '233424', 'grafo': '#formacao_126', 'start_char': '233419'}",#formacao_126,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", Morro Chaves,216,231,33.0,681,3149
geração,nmod,B=EVENTO_PETRO,"{'end_char': '233468', 'grafo': '#hydrocarbon_generation', 'start_char': '233461'}",#hydrocarbon_generation,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", geração,258,265,39.0,681,3149
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '233486', 'grafo': '#oil', 'start_char': '233481'}",#oil,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", óleos,278,283,43.0,681,3149
Bacia,obl,B=BACIA,"{'end_char': '233533', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '233528'}",#BASE_CD_BACIA_116,"A integração de todos os dados geoquimicos     óleos e extratos orgânicos indica que as rochas geradoras identificadas     sedimentos de idade neocomiana (formações Barra de Itiúba, Coqueiro Seco e, secundariamente, Morro    Chaves) são as responsáveis      geração de todos os óleos continentais detectados até o momento    Bacia Sergipe-Alagoas..", Bacia Sergipe-Alagoas,325,346,49.0,681,3149
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '233598', 'grafo': '#oil', 'start_char': '233593'}",#oil,"As correlações cromatográficas entre os óleos com características geoquimicas de ambiente marinho e/ou evaporítico e os extratos orgânicos     sedimentos    Andar Alagoas mostram perfeita correlação entre si, apresentando a mesma distribuição     isoparafinas e predominância    faixa     parafinas normais mais leves..", óleos,40,45,5.0,682,3150
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '233706', 'grafo': '#unconsolidated_earth_material', 'start_char': '233696'}",#unconsolidated_earth_material,"As correlações cromatográficas entre os óleos com características geoquimicas de ambiente marinho e/ou evaporítico e os extratos orgânicos     sedimentos    Andar Alagoas mostram perfeita correlação entre si, apresentando a mesma distribuição     isoparafinas e predominância    faixa     parafinas normais mais leves..", sedimentos,143,153,18.0,682,3150
Andar,nmod,B=UNIDADE_CRONO,"{'end_char': '233715', 'grafo': '#Alagoas_Age', 'start_char': '233710'}",#Alagoas_Age,"As correlações cromatográficas entre os óleos com características geoquimicas de ambiente marinho e/ou evaporítico e os extratos orgânicos     sedimentos    Andar Alagoas mostram perfeita correlação entre si, apresentando a mesma distribuição     isoparafinas e predominância    faixa     parafinas normais mais leves..", Andar Alagoas,157,170,19.0,682,3150
Andar,nmod,B=UNIDADE_CRONO,"{'end_char': '234343', 'grafo': '#Alagoas_Age', 'start_char': '234338'}",#Alagoas_Age,"A distribuição     marcadores biológicos    faixa     terpanos     extratos orgânicos    Andar Alagoas é perfeitamente correlacionável quando se leva em consideração os níveis de maturação, com a distribuição     terpanos     óleos de origem marinha e/ou evaporítica..", Andar Alagoas,89,102,8.0,683,3154
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '234480', 'grafo': '#oil', 'start_char': '234475'}",#oil,"A distribuição     marcadores biológicos    faixa     terpanos     extratos orgânicos    Andar Alagoas é perfeitamente correlacionável quando se leva em consideração os níveis de maturação, com a distribuição     terpanos     óleos de origem marinha e/ou evaporítica..", óleos,226,231,27.0,683,3154
Andar,root,B=UNIDADE_CRONO,"{'end_char': '234852', 'grafo': '#Alagoas_Age', 'start_char': '234847'}",#Alagoas_Age,Andar Alagoas    Bacia Sergipe-Alagoas.., Andar Alagoas,0,13,0.0,684,3158
Bacia,nmod,B=BACIA,"{'end_char': '234869', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '234864'}",#BASE_CD_BACIA_116,Andar Alagoas    Bacia Sergipe-Alagoas.., Bacia Sergipe-Alagoas,17,38,2.0,684,3158
rochas,obj,B=ELEMENTO_PETRO,"{'end_char': '235402', 'grafo': '#source_rock', 'start_char': '235396'}",#source_rock,"A associação     dados geoquímicos mencionados indica que as rochas geradoras     sedimentos    Andar Alagoas B. Geociências PETROBRAS, Rio de Janeiro, v.1(1):87-95, maio jul..", rochas geradoras,61,77,8.0,685,3161
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '235427', 'grafo': '#unconsolidated_earth_material', 'start_char': '235417'}",#unconsolidated_earth_material,"A associação     dados geoquímicos mencionados indica que as rochas geradoras     sedimentos    Andar Alagoas B. Geociências PETROBRAS, Rio de Janeiro, v.1(1):87-95, maio jul..", sedimentos,82,92,10.0,685,3161
Andar,nmod,B=UNIDADE_CRONO,"{'end_char': '235436', 'grafo': '#Alagoas_Age', 'start_char': '235431'}",#Alagoas_Age,"A associação     dados geoquímicos mencionados indica que as rochas geradoras     sedimentos    Andar Alagoas B. Geociências PETROBRAS, Rio de Janeiro, v.1(1):87-95, maio jul..", Andar Alagoas,96,109,11.0,685,3161
geração,obl:agent,B=EVENTO_PETRO,"{'end_char': '235542', 'grafo': '#hydrocarbon_generation', 'start_char': '235535'}",#hydrocarbon_generation,são responsáveis      geração    quase totalidade     óleos com características marinhas e/ou evaporíticas detectados    bacia Sergipe-Alagoas.., geração,22,29,2.0,686,3162
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '235572', 'grafo': '#oil', 'start_char': '235567'}",#oil,são responsáveis      geração    quase totalidade     óleos com características marinhas e/ou evaporíticas detectados    bacia Sergipe-Alagoas.., óleos,54,59,5.0,686,3162
bacia,obl,B=BACIA,"{'end_char': '235639', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '235634'}",#BASE_CD_BACIA_116,são responsáveis      geração    quase totalidade     óleos com características marinhas e/ou evaporíticas detectados    bacia Sergipe-Alagoas.., bacia Sergipe-Alagoas,121,142,13.0,686,3162
geração,nmod,B=EVENTO_PETRO,"{'end_char': '235723', 'grafo': '#hydrocarbon_generation', 'start_char': '235716'}",#hydrocarbon_generation,"Embora remota, existe a possibilidade de contribuição    geração em sedimentos de idade albo-cenomaniana..", geração,57,64,8.0,687,3163
sedimentos,obl,B=NÃOCONSOLID,"{'end_char': '235737', 'grafo': '#unconsolidated_earth_material', 'start_char': '235727'}",#unconsolidated_earth_material,"Embora remota, existe a possibilidade de contribuição    geração em sedimentos de idade albo-cenomaniana..", sedimentos,68,78,10.0,687,3163
idade,nmod,B=UNIDADE_CRONO,"{'end_char': '235746', 'grafo': '#Albian,#Cenomanian', 'start_char': '235741'}","#Albian,#Cenomanian","Embora remota, existe a possibilidade de contribuição    geração em sedimentos de idade albo-cenomaniana..", idade albo-cenomaniana,82,104,12.0,687,3163
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '235868', 'grafo': '#oil', 'start_char': '235863'}",#oil,"As análises geoquimicas indicam a presença de três tipos distintos de óleos    Bacia Sergipe-Alagoas: continentais, marinhos e/ou evaporíticos e misturados..", óleos,70,75,11.0,688,3165
Bacia,obl,B=BACIA,"{'end_char': '235877', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '235872'}",#BASE_CD_BACIA_116,"As análises geoquimicas indicam a presença de três tipos distintos de óleos    Bacia Sergipe-Alagoas: continentais, marinhos e/ou evaporíticos e misturados..", Bacia Sergipe-Alagoas,79,100,12.0,688,3165
óleos,nsubj:pass,B=FLUIDODATERRA_i,"{'end_char': '235963', 'grafo': '#oil', 'start_char': '235958'}",#oil,-- Os óleos    tipo continental foram gerados      porção orgânica dispersa     sedimentos neocomianos (Anda-ves Rio    Seira-Buracica).., óleos,6,11,2.0,689,3166
sedimentos,obl,B=NÃOCONSOLID,"{'end_char': '236042', 'grafo': '#unconsolidated_earth_material', 'start_char': '236032'}",#unconsolidated_earth_material,-- Os óleos    tipo continental foram gerados      porção orgânica dispersa     sedimentos neocomianos (Anda-ves Rio    Seira-Buracica).., sedimentos,80,90,10.0,689,3166
neocomianos,amod,B=UNIDADE_CRONO,"{'end_char': '236054', 'grafo': '#Valanginian', 'start_char': '236043'}",#Valanginian,-- Os óleos    tipo continental foram gerados      porção orgânica dispersa     sedimentos neocomianos (Anda-ves Rio    Seira-Buracica).., neocomianos,91,102,11.0,689,3166
óleos,nsubj:pass,B=FLUIDODATERRA_i,"{'end_char': '236101', 'grafo': '#oil', 'start_char': '236096'}",#oil,— Os óleos    tipo marinho e/ou evapo-ritico foram gerados      matéria orgânica depositada juntamente com os sedimentos    Andar Alagoas).., óleos,5,10,2.0,690,3167
sedimentos,obl,B=NÃOCONSOLID,"{'end_char': '236211', 'grafo': '#unconsolidated_earth_material', 'start_char': '236201'}",#unconsolidated_earth_material,— Os óleos    tipo marinho e/ou evapo-ritico foram gerados      matéria orgânica depositada juntamente com os sedimentos    Andar Alagoas).., sedimentos,110,120,15.0,690,3167
Andar,nmod,B=UNIDADE_CRONO,"{'end_char': '236220', 'grafo': '#Alagoas_Age', 'start_char': '236215'}",#Alagoas_Age,— Os óleos    tipo marinho e/ou evapo-ritico foram gerados      matéria orgânica depositada juntamente com os sedimentos    Andar Alagoas).., Andar Alagoas,124,137,16.0,690,3167
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '236275', 'grafo': '#oil', 'start_char': '236270'}",#oil,- roram identificadas acumuiações de óleos resultantes    mistura de óleos gerados peios sedimentos neocomianos e Alagoas e migrados para o mesmo reservatório.., óleos,37,42,5.0,691,3168
óleos,nmod,B=FLUIDODATERRA_i,"{'end_char': '236307', 'grafo': '#oil', 'start_char': '236302'}",#oil,- roram identificadas acumuiações de óleos resultantes    mistura de óleos gerados peios sedimentos neocomianos e Alagoas e migrados para o mesmo reservatório.., óleos,69,74,9.0,691,3168
sedimentos,obj,B=NÃOCONSOLID,"{'end_char': '236332', 'grafo': '#unconsolidated_earth_material', 'start_char': '236322'}",#unconsolidated_earth_material,- roram identificadas acumuiações de óleos resultantes    mistura de óleos gerados peios sedimentos neocomianos e Alagoas e migrados para o mesmo reservatório.., sedimentos,89,99,12.0,691,3168
neocomianos,amod,B=UNIDADE_CRONO,"{'end_char': '236344', 'grafo': '#Valanginian', 'start_char': '236333'}",#Valanginian,- roram identificadas acumuiações de óleos resultantes    mistura de óleos gerados peios sedimentos neocomianos e Alagoas e migrados para o mesmo reservatório.., neocomianos,100,111,13.0,691,3168
Alagoas,conj,B=UNIDADE_CRONO,"{'end_char': '236354', 'grafo': '#Alagoas_Age', 'start_char': '236347'}",#Alagoas_Age,- roram identificadas acumuiações de óleos resultantes    mistura de óleos gerados peios sedimentos neocomianos e Alagoas e migrados para o mesmo reservatório.., Alagoas,114,121,15.0,691,3168
Bacia,obl,B=BACIA,"{'end_char': '166549', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '166544'}",#BASE_CD_BACIA_281,"RESUMO — Visando a melhor conhecer o comportamento     temperaturas    Bacia de Campos, bem como a estudar suas possíveis causas e implicações, foi realizado o mapeamento     temperaturas de 404 poços perfurados até março de 1984..", Bacia de Campos,71,86,9.0,692,3191
poços,nmod,B=POÇO,"{'end_char': '166673', 'grafo': '#well', 'start_char': '166668'}",#well,"RESUMO — Visando a melhor conhecer o comportamento     temperaturas    Bacia de Campos, bem como a estudar suas possíveis causas e implicações, foi realizado o mapeamento     temperaturas de 404 poços perfurados até março de 1984..", poços,195,200,30.0,692,3191
rochas,nmod,B=ROCHA,"{'end_char': '166782', 'grafo': '#rock', 'start_char': '166776'}",#rock,A configuração estrutural e as diferentes condutividades térmicas     rochas e fluidos são fatores fundamentais que controlam a distribu ição     temperaturas    bacia.., rochas,70,76,8.0,693,3192
fluidos,conj,B=FLUIDO,"{'end_char': '166792', 'grafo': '#generic_anthropogenic_fluid', 'start_char': '166785'}",#generic_anthropogenic_fluid,A configuração estrutural e as diferentes condutividades térmicas     rochas e fluidos são fatores fundamentais que controlam a distribu ição     temperaturas    bacia.., fluidos,79,86,10.0,693,3192
bacia,nmod,B=BACIA,"{'end_char': '166873', 'grafo': '#basin', 'start_char': '166868'}",#basin,A configuração estrutural e as diferentes condutividades térmicas     rochas e fluidos são fatores fundamentais que controlam a distribu ição     temperaturas    bacia.., bacia,162,167,20.0,693,3192
campos,nmod,B=CAMPO,"{'end_char': '167424', 'grafo': '#CAMP_CD_CAMPO_0750', 'start_char': '167418'}",#CAMP_CD_CAMPO_0750,"Quando    comparação        com os mapas de topos     unidades litoestratigráficas,              uma possível atuação     microorganismos     reservatórios Carapebus e Macaé,    área     campos de Pampo, Linguado e Badejo..", campos de Pampo,187,202,20.0,694,3195
Linguado,conj,B=CAMPO,"{'end_char': '167443', 'grafo': '#CAMP_CD_CAMPO_0634', 'start_char': '167435'}",#CAMP_CD_CAMPO_0634,"Quando    comparação        com os mapas de topos     unidades litoestratigráficas,              uma possível atuação     microorganismos     reservatórios Carapebus e Macaé,    área     campos de Pampo, Linguado e Badejo..", Linguado,204,212,24.0,694,3195
Badejo,conj,B=CAMPO,"{'end_char': '167452', 'grafo': '#CAMP_CD_CAMPO_0092', 'start_char': '167446'}",#CAMP_CD_CAMPO_0092,"Quando    comparação        com os mapas de topos     unidades litoestratigráficas,              uma possível atuação     microorganismos     reservatórios Carapebus e Macaé,    área     campos de Pampo, Linguado e Badejo..", Badejo,215,221,26.0,694,3195
bacia,nmod,B=BACIA,"{'end_char': '167596', 'grafo': '#basin', 'start_char': '167591'}",#basin,"O estudo geotérmico de uma bacia sedimentar é de grande importância, uma vez que as características térmicas de suas áreas constituem ferramenta auxiliar    determinação de regiões favoráveis   exploração de hidrocarbonetos..", bacia,27,32,5.0,695,3198
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '167787', 'grafo': '#hydrocarbon', 'start_char': '167772'}",#hydrocarbon,"O estudo geotérmico de uma bacia sedimentar é de grande importância, uma vez que as características térmicas de suas áreas constituem ferramenta auxiliar    determinação de regiões favoráveis   exploração de hidrocarbonetos..", hidrocarbonetos,208,223,30.0,695,3198
óleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '167820', 'grafo': '#oil', 'start_char': '167816'}",#oil,"Estudando ocorrências de óleo em bacias     EUA, MILLER (1974) obser-vou que existe relação direta entre a ocorrência de petróleo, a presença de altas geotemperaturas e a existência de pressões anormalmente altas..", óleo,25,29,3.0,696,3199
bacias,obl,B=BACIA,"{'end_char': '167830', 'grafo': '#basin', 'start_char': '167824'}",#basin,"Estudando ocorrências de óleo em bacias     EUA, MILLER (1974) obser-vou que existe relação direta entre a ocorrência de petróleo, a presença de altas geotemperaturas e a existência de pressões anormalmente altas..", bacias,33,39,5.0,696,3199
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '167920', 'grafo': '#oil', 'start_char': '167912'}",#oil,"Estudando ocorrências de óleo em bacias     EUA, MILLER (1974) obser-vou que existe relação direta entre a ocorrência de petróleo, a presença de altas geotemperaturas e a existência de pressões anormalmente altas..", petróleo,121,129,21.0,696,3199
óleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '168060', 'grafo': '#oil', 'start_char': '168056'}",#oil,"A temperatura, além de poder controlar o tipo de óleo     reservatórios e de gerar fluxos hidrodinâmicos, constitui um     fatores fundamentais para haver geração de hidrocarbonetos..", óleo,49,53,10.0,697,3200
geração,obj,B=EVENTO_PETRO,"{'end_char': '168169', 'grafo': '#hydrocarbon_generation', 'start_char': '168162'}",#hydrocarbon_generation,"A temperatura, além de poder controlar o tipo de óleo     reservatórios e de gerar fluxos hidrodinâmicos, constitui um     fatores fundamentais para haver geração de hidrocarbonetos..", geração,155,162,24.0,697,3200
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '168188', 'grafo': '#hydrocarbon', 'start_char': '168173'}",#hydrocarbon,"A temperatura, além de poder controlar o tipo de óleo     reservatórios e de gerar fluxos hidrodinâmicos, constitui um     fatores fundamentais para haver geração de hidrocarbonetos..", hidrocarbonetos,166,181,26.0,697,3200
Bacia,nmod,B=BACIA,"{'end_char': '168439', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '168434'}",#BASE_CD_BACIA_281,"As primeiras investigações sobre as temperaturas    Bacia de Campos foram realizadas por MEISTER (1973), que utilizou valores de temperatura de cinco poços perfurados..", Bacia de Campos,52,67,6.0,698,3202
poços,nmod,B=POÇO,"{'end_char': '168537', 'grafo': '#well', 'start_char': '168532'}",#well,"As primeiras investigações sobre as temperaturas    Bacia de Campos foram realizadas por MEISTER (1973), que utilizou valores de temperatura de cinco poços perfurados..", poços,150,155,24.0,698,3202
bacia,nmod,B=BACIA,"{'end_char': '168782', 'grafo': '#basin', 'start_char': '168777'}",#basin,"Constituem os objetivos    presente trabalho a atualização    mapeamento geotérmico    bacia, a discussão     processos que orientam e controlam a distribuição     temperaturas em subsuperfície, bem como as possíveis implicações        temperaturas com tipos de óleo e sua ocorrência     reservatórios..", bacia,87,92,9.0,699,3204
óleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '168956', 'grafo': '#oil', 'start_char': '168952'}",#oil,"Constituem os objetivos    presente trabalho a atualização    mapeamento geotérmico    bacia, a discussão     processos que orientam e controlam a distribuição     temperaturas em subsuperfície, bem como as possíveis implicações        temperaturas com tipos de óleo e sua ocorrência     reservatórios..", óleo,262,266,33.0,699,3204
poço,nmod,B=POÇO,"{'end_char': '169501', 'grafo': '#POCO_CD_POCO_024622', 'start_char': '169497'}",#POCO_CD_POCO_024622,"F/km,    poço 3-BD-15-RJS, e 62ºF/km,    poço 7-NA-13-RJS (16,6 a 34°C/km),          encontrado o valor de * 42,05ºF/km (23,36ºC/km) como valor obtido utilizando 80°", poço 3-BD-15-RJS,9,25,3.0,700,3209
poço,nmod,B=POÇO,"{'end_char': '169533', 'grafo': '#POCO_CD_POCO_024293', 'start_char': '169529'}",#POCO_CD_POCO_024293,"F/km,    poço 3-BD-15-RJS, e 62ºF/km,    poço 7-NA-13-RJS (16,6 a 34°C/km),          encontrado o valor de * 42,05ºF/km (23,36ºC/km) como valor obtido utilizando 80°", poço 7-NA-13-RJS,41,57,10.0,700,3209
Bacia,conj,B=BACIA,"{'end_char': '169767', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '169762'}",#BASE_CD_BACIA_281,"Mapa de gradiente geotérmico, Bacia de Campos Fig. 2-Mapa de isotermas a 2 500 m, Bacia de Campos (IC : IC = 4°F/km)..", Bacia de Campos,30,45,5.0,701,3211
Bacia,conj,B=BACIA,"{'end_char': '169819', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '169814'}",#BASE_CD_BACIA_281,"Mapa de gradiente geotérmico, Bacia de Campos Fig. 2-Mapa de isotermas a 2 500 m, Bacia de Campos (IC : IC = 4°F/km)..", Bacia de Campos,82,97,17.0,701,3211
bacia,nmod,B=BACIA,"{'end_char': '169970', 'grafo': '#basin', 'start_char': '169965'}",#basin,"As áreas mais quentes estão situadas    região norte    bacia — onde os gradientes variam de 44 a 560F/km — e    que se situa entre o Cabo de São Tomé e o Alto Regional de Badejo (área    1-RJS-203), que apresenta gradientes entre 44 e 480F/km..", bacia,56,61,8.0,702,3214
1-RJS-203,nmod,B=POÇO,"{'end_char': '170106', 'grafo': '#POCO_CD_POCO_025532', 'start_char': '170097'}",#POCO_CD_POCO_025532,"As áreas mais quentes estão situadas    região norte    bacia — onde os gradientes variam de 44 a 560F/km — e    que se situa entre o Cabo de São Tomé e o Alto Regional de Badejo (área    1-RJS-203), que apresenta gradientes entre 44 e 480F/km..", 1-RJS-203,188,197,39.0,702,3214
campos,nmod,B=CAMPO,"{'end_char': '170174', 'grafo': '#CAMP_CD_CAMPO_0750', 'start_char': '170168'}",#CAMP_CD_CAMPO_0750,"área     campos de Pampo, Badejo, Linguado e adjacên-cias, ocorrem os mais baixos gradientes geotérmicos    bacia..", campos de Pampo,9,24,1.0,703,3215
Badejo,conj,B=CAMPO,"{'end_char': '170191', 'grafo': '#CAMP_CD_CAMPO_0092', 'start_char': '170185'}",#CAMP_CD_CAMPO_0092,"área     campos de Pampo, Badejo, Linguado e adjacên-cias, ocorrem os mais baixos gradientes geotérmicos    bacia..", Badejo,26,32,5.0,703,3215
Linguado,conj,B=CAMPO,"{'end_char': '170201', 'grafo': '#CAMP_CD_CAMPO_0634', 'start_char': '170193'}",#CAMP_CD_CAMPO_0634,"área     campos de Pampo, Badejo, Linguado e adjacên-cias, ocorrem os mais baixos gradientes geotérmicos    bacia..", Linguado,34,42,7.0,703,3215
bacia,nmod,B=BACIA,"{'end_char': '170272', 'grafo': '#basin', 'start_char': '170267'}",#basin,"área     campos de Pampo, Badejo, Linguado e adjacên-cias, ocorrem os mais baixos gradientes geotérmicos    bacia..", bacia,108,113,17.0,703,3215
campos,nmod,B=CAMPO,"{'end_char': '170751', 'grafo': '#field', 'start_char': '170745'}",#field,situado    faixa de ocorrência    maioria     campos de óleo de temperaturas mais elevadas.., campos,46,52,5.0,704,3219
óleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '170759', 'grafo': '#oil', 'start_char': '170755'}",#oil,situado    faixa de ocorrência    maioria     campos de óleo de temperaturas mais elevadas.., óleo,56,60,7.0,704,3219
bacia,nmod,B=BACIA,"{'end_char': '172120', 'grafo': '#basin', 'start_char': '172115'}",#basin,"Os mapas de temperatura, quando con-frontados com o mapa tectônico    bacia, mostram influência     grandes feições tectônicas    distribuição    calor, uma vez que orientaram o tipo e a quantidade de sedimentação, possibilitam contatos laterais entre pacotes litologicamente distintos, além de servirem de dutos ou passa-gens para a migração de fluidos e, consequentemente, para a transferência de calor..", bacia,70,75,11.0,705,3231
migração,obl,B=EVENTO_PETRO,"{'end_char': '172387', 'grafo': '#hydrocarbon_migration', 'start_char': '172379'}",#hydrocarbon_migration,"Os mapas de temperatura, quando con-frontados com o mapa tectônico    bacia, mostram influência     grandes feições tectônicas    distribuição    calor, uma vez que orientaram o tipo e a quantidade de sedimentação, possibilitam contatos laterais entre pacotes litologicamente distintos, além de servirem de dutos ou passa-gens para a migração de fluidos e, consequentemente, para a transferência de calor..", migração,334,342,50.0,705,3231
fluidos,nmod,B=FLUIDO,"{'end_char': '172398', 'grafo': '#generic_anthropogenic_fluid', 'start_char': '172391'}",#generic_anthropogenic_fluid,"Os mapas de temperatura, quando con-frontados com o mapa tectônico    bacia, mostram influência     grandes feições tectônicas    distribuição    calor, uma vez que orientaram o tipo e a quantidade de sedimentação, possibilitam contatos laterais entre pacotes litologicamente distintos, além de servirem de dutos ou passa-gens para a migração de fluidos e, consequentemente, para a transferência de calor..", fluidos,346,353,52.0,705,3231
